Date,Tag,Category, , ,Hours,Formatted Time,Earned,
"Feb 1, 2021","wireframes stripe connect ","neobox", , , 1.561,01:33:41,"$68.71"
"Jan 31, 2021","wireframes stripe connect ","neobox", , , 1.408,01:24:27,"$61.94"
"Jan 30, 2021","wireframes stripe connect ","neobox", , , 0.989,00:59:19,"$43.51"
"Jan 29, 2021","wireframes stripe connect ","neobox", , , 4.835,04:50:07,"$212.76"
"Jan 29, 2021","stripe connect - pay to vendors and neobox fee","neobox", , , 0.002,00:00:07,"$0.09"
"Jan 24, 2021","wireframes stripe connect ","neobox", , , 1.28,01:16:49,"$56.34"
"Jan 24, 2021","stripe connect - pay to vendors and neobox fee","neobox", , , 0.226,00:13:34,"$9.95"
"Jan 22, 2021","stripe connect - pay to vendors and neobox fee","neobox", , , 0.663,00:39:45,"$29.15"
"Jan 22, 2021","wireframes stripe connect ","neobox", , , 2.367,02:22:02,"$104.16"
"Jan 21, 2021","wireframes stripe connect ","neobox", , , 6.209,06:12:33,"$273.21"
"Jan 21, 2021","deployment","neobox", , , 0.305,00:18:19,"$13.44"
"Jan 20, 2021","wireframes stripe connect ","neobox", , , 3.835,03:50:06,"$168.74"
"Jan 19, 2021","wireframes stripe connect ","neobox", , , 0.967,00:57:59,"$42.53"
"Jan 19, 2021","save db categories to the spree_storefront.yml","neobox", , , 2.222,02:13:19,"$97.77"
"Jan 18, 2021","save db categories to the spree_storefront.yml","neobox", , , 6.528,06:31:41,"$287.24"
"Jan 17, 2021","save db categories to the spree_storefront.yml","neobox", , , 3.368,03:22:04,"$148.19"
"Jan 17, 2021","logo change","neobox", , , 2.756,02:45:22,"$121.27"
"Jan 16, 2021","spree analytics trackers","neobox", , , 0.716,00:42:56,"$31.49"
"Jan 16, 2021","create taxons from excel file","neobox", , , 0.273,00:16:21,"$12.00"
"Jan 16, 2021","static pages: privacy policy & terms of use","neobox", , , 0.355,00:21:17,"$15.61"
"Jan 15, 2021","create taxons from excel file","neobox", , , 6.24,06:14:22,"$274.54"
"Jan 15, 2021","spree analytics trackers","neobox", , , 1.763,01:45:45,"$77.55"
"Jan 15, 2021","static pages: privacy policy & terms of use","neobox", , , 1.337,01:20:13,"$58.84"
"Jan 14, 2021","create taxons from excel file","neobox", , , 3.691,03:41:27,"$162.40"
"Jan 14, 2021","stripe connect - pay to vendors and neobox fee","neobox", , , 2.745,02:44:41,"$120.78"
"Jan 13, 2021","stripe connect - pay to vendors and neobox fee","neobox", , , 4.789,04:47:21,"$210.72"
"Jan 12, 2021","stripe connect - pay to vendors and neobox fee","neobox", , , 2.4,02:23:59,"$105.59"
"Jan 11, 2021","stripe connect - pay to vendors and neobox fee","neobox", , , 0.492,00:29:30,"$21.64"
"Jan 9, 2021","save db categories to the spree_storefront.yml","neobox", , , 2.791,02:47:26,"$122.79"
"Jan 8, 2021","payment method","neobox", , , 0.54,00:32:23,"$23.75"
"Jan 8, 2021","save db categories to the spree_storefront.yml","neobox", , , 3.037,03:02:13,"$133.63"
"Jan 7, 2021","payment method","neobox", , , 2.59,02:35:23,"$113.95"
"Jan 7, 2021","save db categories to the spree_storefront.yml","neobox", , , 2.752,02:45:06,"$121.08"
"Jan 5, 2021","payment method","neobox", , , 10.068,10:04:05,"$443.00"
"Jan 1, 2021","payment method","neobox", , , 3.145,03:08:40,"$138.37"
"Dec 26, 2020","home page (products without cats)","neobox", , , 0.752,00:45:08,"$33.10"
"Dec 24, 2020","deployment","neobox", , , 5.284,05:17:03,"$232.51"
"Dec 23, 2020","deployment","neobox", , , 8.815,08:48:55,"$387.87"
"Dec 22, 2020","deployment","neobox", , , 8.258,08:15:29,"$363.36"
"Dec 21, 2020","deployment","neobox", , , 3.044,03:02:39,"$133.94"
